Entity,Code,Year,Daily caloric intake per person that comes from animal protein,Daily caloric intake per person that comes from vegetal protein,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
Albania,ALB,1965,6.698.608,1.815.263,3.726.847,1480.51
Algeria,DZA,1965,32.512.188,14.122.998,2.771.994,11.901.812
Americas (FAO),0,1965,169.12,143.36,71.477.997,1589.74
Angola,AGO,1965,3.531.359,11.219.264,26.556.238,13.649.252
Antigua and Barbuda,ATG,1965,11.954.948,11.222.848,5.331.758,14.695.594
Argentina,ARG,1965,23.808.667,16.631.293,91.808.734,18.952.009
Asia,0,1965,3.381.202,16.551.604,25.412.192,14.871.962
Asia (FAO),0,1965,34.2,167.36,257.13,1504.27
Australia,AUS,1965,2.853.348,14.623.007,99.308.765,16.726.792
Austria,AUT,1965,2.026.603,15.684.528,10.888.281,17.783.579
Bahamas,BHS,1965,15.756.789,12.277.616,58.806.726,14.964.601
Bangladesh,BGD,1965,24.366.158,1.506.556,14.458.362,17.551.943
Barbados,BRB,1965,14.469.873,12.267.163,61.270.557,16.824.639
Belgium-Luxembourg (FAO),0,1965,192.96,161.08,1073.52,1538.48
Belize,BLZ,1965,9.167.196,13.724.509,54.463.336,15.253.252
Benin,BEN,1965,29.053.715,13.537.877,3.251.226,12.536.677
Bermuda,BMU,1965,2.666.882,104.003.395,98.968.665,13.613.977
Bolivia,BOL,1965,51.987.926,123.735.634,29.292.426,12.001.792
Botswana,BWA,1965,108.097.176,18.963.977,37.314.194,14.220.061
Brazil,BRA,1965,7.617.903,16.468.233,3.772.657,17.071.284
Brunei,BRN,1965,8.270.527,994.988,3.530.658,14.003.853
Bulgaria,BGR,1965,104.116.905,2.757.605,70.959.753,2.304.776
Burkina Faso,BFA,1965,2.379.851,17.216.798,25.111.841,1.129.115
Cambodia,KHM,1965,2.267.198,1.572.371,17.321.436,16.668.201
Cameroon,CMR,1965,38.137.386,18.092.107,30.213.144,15.413.859
Canada,CAN,1965,23.420.229,1.432.814,9.886.596,15.579.252
Cape Verde,CPV,1965,18.117.912,16.599.496,24.575.143,11.936.116
Caribbean (FAO),0,1965,73.72,126.24,415.62,1521.42
Central African Republic,CAF,1965,28.464.598,9.420.426,3.470.327,15.768.959
Central America (FAO),0,1965,63.92,178.76,435.69,15.826.301
Chad,TCD,1965,4.731.785,24.524.301,51.294.415,14.740.483
Chile,CHL,1965,879.356,17.452.426,45.017.447,17.541.418
China,CHN,1965,21.547.543,16.372.987,20.472.131,13.764.673
China (FAO),0,1965,23.36,166.6,213.12,1409.88
Colombia,COL,1965,8.997.285,1.118.263,35.534.198,15.733.265
Congo,COG,1965,49.910.114,8.305.565,31.747.205,15.472.711
Costa Rica,CRI,1965,8.241.222,129.9,42.401.205,15.108.971
Cote d'Ivoire,CIV,1965,63.231.075,15.685.666,29.206.332,19.327.465
Cuba,CUB,1965,9.426.888,11.804.309,5.121.213,15.839.912
Cyprus,CYP,1965,97.311.264,17.730.602,7.279.146,15.394.191
Czechoslovakia,OWID_CZS,1965,17.964.125,19.484.349,9.737.698,20.184.867
Denmark,DNK,1965,1.851.025,12.681.762,12.207.997,15.756.328
Djibouti,DJI,1965,63.975.807,10.706.328,2.059.763,12.995.482
Dominica,DMA,1965,9.122.593,102.277.435,40.179.987,1.325.457
Dominican Republic,DOM,1965,54.597.946,10.500.226,31.908.948,13.288.087
East Timor,TLS,1965,15.899.677,117.271.454,3.650.317,11.890.419
Eastern Africa (FAO),0,1965,42.64,179.48,267.66,15.071.799
Eastern Asia (FAO),0,1965,34.84,171.6,230.58,1486.98
Eastern Europe (FAO),0,1965,152.28,233.6,717.57,21.185.498
Ecuador,ECU,1965,714.945,1.391.994,4.288.791,15.150.681
Egypt,EGY,1965,3.352.226,22.282.932,3.950.213,16.691.587
El Salvador,SLV,1965,4.909.594,12.965.736,34.480.408,12.078.601
Eswatini,SWZ,1965,8.229.105,17.047.736,33.451.437,1.598.195
Ethiopia (former),OWID_ERE,1965,4.352.881,18.870.264,22.773.853,12.710.685
Europe,0,1965,1.683.173,20.263.664,8.651.716,1.919.562
Europe (FAO),0,1965,168.24,201.44,865.71,19.086.101
European Union (27),0,1965,173.068,18.598.595,92.692.786,17.948.877
European Union (27) (FAO),0,1965,172.96,184.56,927.54,1780.94
Fiji,FJI,1965,69.171.486,17.387.843,5.692.105,19.577.648
Finland,FIN,1965,21.817.998,14.761.353,10.895.498,16.679.026
France,FRA,1965,24.184.964,1.734.223,10.648.547,18.001.646
French Polynesia,PYF,1965,123.591.675,14.590.526,6.328.278,16.268.002
Gabon,GAB,1965,122.423.485,8.561.871,22.377.264,13.938.496
Gambia,GMB,1965,4.043.938,15.616.522,49.780.286,13.083.381
Germany,DEU,1965,18.811.548,14.815.353,10.871.381,16.130.549
Ghana,GHA,1965,44.210.747,9.795.714,28.636.505,14.155.516
Greece,GRC,1965,14.473.868,2.263.347,8.295.897,17.317.795
Grenada,GRD,1965,8.486.564,10.730.049,44.986.713,12.774.619
Guatemala,GTM,1965,4.352.218,1.701.358,3.223.437,1420.5
Guinea,GIN,1965,14.753.912,15.761.691,40.815.125,14.551.549
Guinea-Bissau,GNB,1965,30.072.414,11.586.321,5.150.186,12.373.954
Guyana,GUY,1965,884.879,13.020.813,38.994.415,16.025.715
Haiti,HTI,1965,22.483.397,15.590.356,23.745.587,15.304.512
High-income countries,0,1965,188.728,16.717.276,8.678.947,17.331.967
Honduras,HND,1965,48.284.378,1.493.174,30.812.134,13.729.817
Hong Kong,HKG,1965,13.544.374,15.093.869,6.625.047,17.986.193
Hungary,HUN,1965,15.147.404,22.143.452,8.328.164,18.952.007
Iceland,ISL,1965,3.615.936,11.368.933,11.356.953,15.397.778
India,IND,1965,23.179.346,17.272.992,26.757.806,14.591.637
Indonesia,IDN,1965,19.915.667,119.335.304,26.252.377,14.330.848
Iran,IRN,1965,4.974.969,15.350.986,298.559,14.023.447
Iraq,IRQ,1965,49.908.333,17.423.355,37.616.583,14.799.221
Ireland,IRL,1965,24.242.534,17.372.539,10.814.799,19.272.872
Israel,ISR,1965,18.430.768,2.046.106,80.486.084,18.121.204
Italy,ITA,1965,13.840.038,21.704.059,8.179.222,19.576.455
Jamaica,JAM,1965,10.143.018,1.297.194,46.242.007,14.976.367
Japan,JPN,1965,11.590.762,18.809.055,3.729.125,18.871.099
Jordan,JOR,1965,74.713.326,32.397.305,7.446.034,27.287.407
Kenya,KEN,1965,6.237.611,2.200.726,33.792.108,17.081.365
Kiribati,KIR,1965,73.893.234,8.998.541,737.326,9.020.574
Kuwait,KWT,1965,13.706.383,15.863.835,6.334.184,14.684.646
Land Locked Developing Countries (FAO),0,1965,48.2,186.28,323.37,1557.15
Laos,LAO,1965,26.216.936,17.839.523,1.899.327,16.217.574
Least Developed Countries (FAO),0,1965,37.88,161.8,264.06,1501.26
Lebanon,LBN,1965,8.726.973,18.087.321,58.925.104,16.199.918
Lesotho,LSO,1965,47.809.223,22.958.838,24.110.687,17.287.892
Liberia,LBR,1965,31.107.824,12.022.648,3.357.718,1612.38
Low Income Food Deficit Countries (FAO),0,1965,30.84,171.2,287.01,1484.95
Low-income countries,0,1965,41.523.422,18.292.192,3.012.919,15.525.116
Lower-middle-income countries,0,1965,31.764.536,16.503.214,2.864.814,14.771.453
Macao,MAC,1965,8.711.708,14.274.226,5.951.616,14.982.991
Madagascar,MDG,1965,7.241.613,17.952.336,294.974,19.381.494
Malawi,MWI,1965,18.504.053,24.280.737,3.922.004,15.370.414
Malaysia,MYS,1965,61.855.915,14.004.955,49.512.103,18.515.719
Maldives,MDV,1965,977.734,9.765.751,30.325.784,10.986.375
Mali,MLI,1965,6.400.317,123.614.334,38.362.488,10.223.052
Malta,MLT,1965,12.426.385,21.688.802,77.072.375,17.755.752
Mauritania,MRT,1965,1.784.646,1.572.609,5.094.439,13.635.511
Mauritius,MUS,1965,5.022.435,138.246,4.256.663,16.677.958
Mexico,MEX,1965,696.348,2.009.692,49.562.286,17.469.912
Micronesia (FAO),0,1965,103.96,126.6,1037.34,12.691.001
Middle Africa (FAO),0,1965,41.88,155.64,338.85,1497.63
Mongolia,MNG,1965,21.631.009,11.018.538,7.258.296,11.537.252
Morocco,MAR,1965,37.362.762,2.077.909,3.298.201,17.133.375
Mozambique,MOZ,1965,20.542.606,1.387.527,23.749.011,17.047.773
Myanmar,MMR,1965,31.930.601,12.344.917,27.508.987,10.987.965
Namibia,NAM,1965,1.105.434,16.452.777,42.680.884,16.339.825
Nepal,NPL,1965,29.454.939,1.441.135,20.785.815,12.586.409
Net Food Importing Developing Countries (FAO),0,1965,46.32,166.52,308.43,15.447.301
Netherlands,NLD,1965,21.585.014,12.674.828,11.156.635,14.975.399
New Caledonia,NCL,1965,14.987.196,13.628.214,78.412.134,17.283.071
New Zealand,NZL,1965,2.339.215,13.610.558,10.221.664,15.622.059
Nicaragua,NIC,1965,80.338.165,15.117.354,3.199.173,14.421.768
Niger,NER,1965,5.049.646,15.470.691,26.181.317,12.742.786
Nigeria,NGA,1965,21.534.248,15.065.924,50.870.132,12.098.928
North America,0,1965,21.533.759,14.407.571,89.537.537,16.016.425
North Korea,PRK,1965,48.484.146,20.263.004,20.611.507,14.155.378
Northern Africa (FAO),0,1965,40.44,182.28,373.68,14.196.001
Northern America (FAO),0,1965,257.64,127.8,1014.39,15.231.699
Northern Europe (FAO),0,1965,218.76,144.76,1185.57,1627.91
Norway,NOR,1965,21.078.773,13.745.808,100.651.245,15.456.633
Oceania,0,1965,26.214.526,14.422.841,9.698.457,16.522.137
Oceania (FAO),0,1965,263.04,144.72,973.08,1658.2
Pakistan,PAK,1965,61.966.686,1.769.564,33.508.722,16.319.558
Panama,PAN,1965,91.143.135,11.811.571,39.121.298,15.170.763
Paraguay,PRY,1965,13.028.387,14.052.773,50.798.523,16.074.103
Peru,PER,1965,7.767.601,125.761.154,29.557.764,15.664.661
Philippines,PHL,1965,64.340.965,9.965.876,27.766.122,13.260.759
Poland,POL,1965,18.370.262,22.214.827,86.466.504,21.055.022
Portugal,PRT,1965,12.098.264,18.806.648,7.054.291,18.173.069
Romania,ROU,1965,94.681.755,25.110.384,568.927,2.040.856
Rwanda,RWA,1965,9.886.377,18.305.247,11.113.486,15.583.499
Saint Kitts and Nevis,KNA,1965,57.742.332,9.013.529,47.306.903,11.973.907
Saint Lucia,LCA,1965,74.155.106,7.870.571,39.290.536,11.824.751
Saint Vincent and the Grenadines,VCT,1965,56.309.017,10.728.034,39.945.386,13.230.083
Samoa,WSM,1965,8.433.857,9.854.503,6.362.964,11.337.178
Sao Tome and Principe,STP,1965,29.752.596,14.633.495,62.678.864,12.437.472
Saudi Arabia,SAU,1965,32.315.273,15.394.313,2.750.576,13.375.287
Senegal,SEN,1965,64.099.045,20.530.275,43.623.932,17.212.976
Sierra Leone,SLE,1965,3.333.361,1.362.074,5.371.039,12.804.803
Small Island Developing States (FAO),0,1965,73.76,127.04,419.67,15.105.299
Solomon Islands,SLB,1965,61.849.792,11.639.335,33.936.005,15.060.786
South Africa,ZAF,1965,10.681.915,2.025.268,6.065.271,20.416.873
South America,0,1965,102.405.334,15.156.001,45.775.424,16.723.289
South America (FAO),0,1965,103.24,152.8,461.52,1686.4
South Korea,KOR,1965,27.751.366,20.729.842,14.441.023,19.237.867
South-eastern Asia (FAO),0,1965,36.8,126.24,262.62,1465.34
Southern Africa (FAO),0,1965,100.68,194.76,556.2,19.263.601
Southern Asia (FAO),0,1965,28.32,172,26.747.998,1517.2
Southern Europe (FAO),0,1965,126.44,216.96,76.130.994,18.772.899
Spain,ESP,1965,12.472.771,18.601.149,74.713.617,15.992.886
Sri Lanka,LKA,1965,36.182.915,14.706.865,41.140.942,16.718.077
Sudan (former),0,1965,7.385.351,12.724.843,46.815.756,96.135.144
Suriname,SUR,1965,9.140.594,1.359.508,3.770.805,1.644.521
Sweden,SWE,1965,22.453.194,11.801.501,10.546.793,14.563.335
Switzerland,CHE,1965,20.759.686,158.425,12.301.729,18.328.961
Taiwan,TWN,1965,6.886.964,16.899.168,3.408.704,17.680.574
Tanzania,TZA,1965,39.416.763,12.564.345,23.405.963,13.507.676
Thailand,THA,1965,555.284,13.359.721,27.190.405,1.660.361
Togo,TGO,1965,25.573.025,1.658.679,33.315.344,16.083.685
Trinidad and Tobago,TTO,1965,9.465.068,13.916.675,4.897.554,16.476.057
Tunisia,TUN,1965,46.079.773,2.008.871,5.640.989,15.716.211
Turkey,TUR,1965,9.852.957,26.539.352,59.357.837,1.998.781
USSR,OWID_USS,1965,15.328.848,23.574.821,6.913.323,21.422.188
Uganda,UGA,1965,3.866.736,15.731.989,27.464.716,16.297.474
United Arab Emirates,ARE,1965,13.903.802,10.574.013,55.853.766,13.697.834
United Kingdom,GBR,1965,22.092.073,14.978.699,12.338.126,16.525.929
United States,USA,1965,27.363.983,1.329.252,10.705.175,15.986.814
Upper-middle-income countries,0,1965,61.127.464,17.601.933,36.262.524,16.068.218
Uruguay,URY,1965,22.288.531,11.244.809,94.606.616,1.486.569
Vanuatu,VUT,1965,119.723.656,12.309.225,808.848,14.718.065
Venezuela,VEN,1965,8.983.199,12.220.456,45.730.945,14.591.315
Vietnam,VNM,1965,40.584.274,1.503.574,19.115.558,15.972.009
Western Africa (FAO),0,1965,33.52,149.52,435.69,1311.27
Western Asia (FAO),0,1965,81.68,225,515.25,17.640.701
Western Europe (FAO),0,1965,206.56,154.52,1078.65,16.583.099
World,OWID_WRL,1965,8.167.962,16.872.304,45.470.032,15.725.396
Yemen,YEM,1965,29.765.549,16.294.261,28.500.327,12.080.278
Yugoslavia,OWID_YGS,1965,9.680.876,28.027.377,6.622.727,22.522.627
Zambia,ZMB,1965,47.694,18.525.478,2.863.402,14.777.505
Zimbabwe,ZWE,1965,4.311.477,19.715.857,37.550.415,15.180.853
Afghanistan,AFG,1966,6.580.247,25.753.232,36.715.204,21.043.413
Africa,0,1966,4.301.009,17.039.584,3.597.492,14.609.155
Africa (FAO),0,1966,44.2,167.8,363.6,1433.4
Albania,ALB,1966,67.117.676,17.445.386,39.486.508,14.600.977
Algeria,DZA,1966,33.792.244,13.937.221,27.397.937,11.873.271
Americas (FAO),0,1966,173.12,142.16,730.26,1580.46
Angola,AGO,1966,36.139.565,11.277.378,27.093.213,13.852.227
Antigua and Barbuda,ATG,1966,12.647.053,10.103.961,5.575.286,13.999.279
Argentina,ARG,1966,2.625.458,1.429.645,10.125.338,17.531.827
Asia,0,1966,34.486.984,16.606.773,26.145.108,15.091.389
Asia (FAO),0,1966,34.88,168,264.6,1526.52
Australia,AUS,1966,28.638.028,16.040.514,9.982.987,17.384.832
Austria,AUT,1966,20.107.648,15.565.402,10.903.192,17.894.004
Bahamas,BHS,1966,16.963.216,12.706.977,6.259.044,15.441.215
Bangladesh,BGD,1966,23.468.887,1.493.546,13.805.113,17.568.169
Barbados,BRB,1966,14.229.445,12.460.165,58.021.106,17.355.669
Belgium-Luxembourg (FAO),0,1966,202.24,157.76,1110.51,1596.49
Belize,BLZ,1966,92.222.626,13.446.107,5.491.603,14.994.648
Benin,BEN,1966,27.226.814,1.282.506,30.742.648,12.714.595
Bermuda,BMU,1966,28.832.495,9.855.879,1.033.559,13.228.392
Bolivia,BOL,1966,52.328.827,12.032.344,30.712.604,11.954.381
Botswana,BWA,1966,10.514.177,18.575.757,37.198.434,14.132.931
Brazil,BRA,1966,7.605.436,1.654.292,395.367,16.852.604
Brunei,BRN,1966,89.736.786,11.767.263,3.921.851,15.069.966
Bulgaria,BGR,1966,11.170.104,27.925.262,7.257.682,23.544.895
Burkina Faso,BFA,1966,24.822.344,17.066.866,25.290.521,11.155.718
Cambodia,KHM,1966,2.275.405,1.595.293,17.796.468,1.673.646
Cameroon,CMR,1966,3.908.134,18.875.993,32.589.166,15.843.823
Canada,CAN,1966,23.996.954,13.267.259,10.088.311,15.307.699
Cape Verde,CPV,1966,19.073.292,15.470.998,2.362.532,11.610.524
Caribbean (FAO),0,1966,78.96,122.08,434.07,14.778.899
Central African Republic,CAF,1966,30.045.092,9.177.474,37.609.827,13.554.327
Central America (FAO),0,1966,68.24,179.32,448.83,16.006.101
Chad,TCD,1966,4.669.851,24.064.027,46.084.998,14.973.503
Chile,CHL,1966,9.309.974,18.322.491,48.605.017,17.959.365
China,CHN,1966,22.147.892,16.681.604,21.611.867,14.258.491
China (FAO),0,1966,24.08,169.8,225.27,1460.85
Colombia,COL,1966,8.341.911,107.392.456,34.402.765,15.323.945
Congo,COG,1966,5.027.775,7.990.024,31.850.876,14.836.726
Costa Rica,CRI,1966,7.386.197,12.739.316,41.507.388,15.016.266
Cote d'Ivoire,CIV,1966,6.416.505,15.398.856,3.148.533,19.000.276
Cuba,CUB,1966,100.231.316,109.611.984,51.870.593,14.718.098
Cyprus,CYP,1966,10.655.584,17.785.616,708.089,1.607.499
Czechoslovakia,OWID_CZS,1966,18.059.543,19.593.988,9.794.013,20.399.174
Denmark,DNK,1966,1.941.434,12.770.908,12.220.054,15.738.755
Djibouti,DJI,1966,6.582.269,1.091.192,26.093.536,12.899.878
Dominica,DMA,1966,8.616.496,93.627.426,4.105.885,13.486.367
Dominican Republic,DOM,1966,641.164,10.474.901,4.013.731,13.564.412
East Timor,TLS,1966,15.648.244,12.513.407,3.544.204,1.275.133
Eastern Africa (FAO),0,1966,43.6,178.68,273.78,1485.94
Eastern Asia (FAO),0,1966,35.76,174.48,244.71,1530.05
Eastern Europe (FAO),0,1966,158.04,230.32,729.99,2114.65
Ecuador,ECU,1966,7.210.993,13.496.199,43.347.995,15.059.493
Egypt,EGY,1966,34.715.343,23.225.522,40.526.935,17.084.491
El Salvador,SLV,1966,48.946.587,13.083.798,35.552.777,12.081.029
Eswatini,SWZ,1966,8.179.468,16.636.409,33.450.766,15.878.682
Ethiopia (former),OWID_ERE,1966,4.366.567,18.393.576,22.704.388,12.337.214
Europe,0,1966,1.720.186,20.098.158,8.732.362,19.227.483
Europe (FAO),0,1966,172,199.8,874.26,1912.94
European Union (27),0,1966,17.659.459,18.597.739,92.494.073,18.151.238
European Union (27) (FAO),0,1966,176.64,184.44,926.46,18.014.601
Fiji,FJI,1966,66.392.075,15.441.486,55.303.375,17.997.799
Finland,FIN,1966,21.965.009,14.504.817,11.050.333,16.669.451
France,FRA,1966,24.235.275,1.688.241,10.642.301,17.865.663
French Polynesia,PYF,1966,14.552.702,15.349.176,6.448.019,17.271.709
Gabon,GAB,1966,12.393.475,878.115,23.250.932,1.415.585
Gambia,GMB,1966,38.053.165,15.664.067,47.900.287,12.497.524
Germany,DEU,1966,18.705.096,14.730.011,10.767.235,16.277.065
Ghana,GHA,1966,47.387.367,10.988.831,28.612.485,15.127.058
Greece,GRC,1966,15.162.685,22.281.921,85.521.655,1.743.749
Grenada,GRD,1966,9.654.851,11.144.655,4.756.111,12.960.233
Guatemala,GTM,1966,4.124.275,16.999.184,3.148.794,14.324.583
Guinea,GIN,1966,15.067.762,15.692.229,43.692.484,14.195.928
Guinea-Bissau,GNB,1966,3.059.404,12.112.269,50.703.006,12.806.554
Guyana,GUY,1966,9.107.363,13.508.263,40.965.274,16.182.137
Haiti,HTI,1966,22.807.257,15.371.849,23.367.416,15.057.699
High-income countries,0,1966,19.231.143,16.748.235,87.853.564,17.437.509
Honduras,HND,1966,4.651.189,15.373.567,323.197,14.099.869
Hong Kong,HKG,1966,14.667.178,14.524.411,7.483.599,17.331.771
Hungary,HUN,1966,15.083.606,23.496.388,8.496.268,20.598.472
Iceland,ISL,1966,37.603.864,10.183.799,10.686.707,15.299.331
India,IND,1966,23.332.817,17.029.771,26.589.856,14.706.045
Indonesia,IDN,1966,20.791.504,12.208.547,26.011.243,14.197.456
Iran,IRN,1966,48.199.505,17.070.152,28.928.812,15.405.529
Iraq,IRQ,1966,5.040.588,17.557.104,36.345.026,14.899.166
Ireland,IRL,1966,24.328.471,17.090.347,10.860.809,19.133.699
Israel,ISR,1966,19.527.235,20.417.892,8.615.216,18.006.605
Italy,ITA,1966,14.363.927,21.701.761,8.265.853,19.671.068
Jamaica,JAM,1966,10.838.299,12.753.549,4.726.635,1.511.092
Japan,JPN,1966,11.952.702,18.858.447,40.763.895,18.734.136
Jordan,JOR,1966,7.200.699,30.575.278,7.172.312,2.664.605
Kenya,KEN,1966,5.988.434,21.729.117,31.989.423,17.037.075
Kiribati,KIR,1966,7.171.525,9.821.808,71.029.034,98.428.687
Kuwait,KWT,1966,12.816.612,1.613.692,6.696.425,15.310.524
Land Locked Developing Countries (FAO),0,1966,49.68,183.16,324.09,1517.03
Laos,LAO,1966,28.344.809,17.963.722,19.466.039,16.351.411
Least Developed Countries (FAO),0,1966,38.24,159.28,26.216.998,1478.31
Lebanon,LBN,1966,9.158.906,17.684.377,56.865.686,16.169.711
Lesotho,LSO,1966,37.529.114,2.220.008,20.564.882,16.771.978
Liberia,LBR,1966,34.088.356,13.017.322,34.667.505,17.172.059
Low Income Food Deficit Countries (FAO),0,1966,31.04,167.68,28.169.998,14.805.801
Low-income countries,0,1966,4.353.551,18.018.277,3.005.605,15.222.443
Lower-middle-income countries,0,1966,31.983.648,16.259.201,28.213.596,14.773.875
Macao,MAC,1966,1.012.048,12.793.438,58.316.626,13.682.126
Madagascar,MDG,1966,8.425.715,1.748.545,3.208.391,18.584.423
Malawi,MWI,1966,17.809.534,24.482.277,3.829.536,15.261.663
Malaysia,MYS,1966,6.694.588,13.798.102,50.689.996,18.355.311
Maldives,MDV,1966,9.913.507,9.997.682,311.208,11.043.076
Mali,MLI,1966,6.660.636,1.260.616,35.524.323,10.470.471
Malta,MLT,1966,1.253.964,20.990.349,74.666.565,17.431.863
Mauritania,MRT,1966,17.162.292,16.262.259,5.138.516,13.834.941
Mauritius,MUS,1966,51.461.388,14.126.033,44.937.247,16.754.978
Mexico,MEX,1966,7.603.118,20.039.192,51.130.438,17.653.528
Micronesia (FAO),0,1966,100.12,137.12,991.62,1374.14
Middle Africa (FAO),0,1966,42.52,156.8,340.92,1491.76
Mongolia,MNG,1966,2.203.815,11.132.512,75.285.284,11.450.724
Morocco,MAR,1966,37.709.133,19.687.871,32.868.182,1.640.947
Mozambique,MOZ,1966,20.939.888,13.541.127,25.016.412,16.695.059
Myanmar,MMR,1966,30.889.057,11.725.961,25.848.795,10.279.225
Namibia,NAM,1966,11.825.358,1.617.792,4.300.074,16.176.882
Nepal,NPL,1966,29.337.618,14.197.179,20.538.188,12.387.345
Net Food Importing Developing Countries (FAO),0,1966,47,163.32,308.52,15.201.599
Netherlands,NLD,1966,22.287.868,13.011.209,11.499.572,15.149.121
New Caledonia,NCL,1966,1.453.276,14.023.517,79.190.436,17.619.961
New Zealand,NZL,1966,2.528.646,13.283.545,10.782.936,1.604.346
Nicaragua,NIC,1966,84.090.485,1.568.687,33.497.754,14.462.297
Niger,NER,1966,5.345.179,15.142.783,26.887.613,12.663.593
Nigeria,NGA,1966,21.009.197,13.724.399,44.101.205,11.465.105
North America,0,1966,22.058.655,14.387.256,9.076.565,16.086.716
North Korea,PRK,1966,50.181.343,20.508.897,2.124.669,14.604.741
Northern Africa (FAO),0,1966,41.36,182.76,378,1415.88
Northern America (FAO),0,1966,263.8,127.64,1028.25,1531.31
Northern Europe (FAO),0,1966,217.48,144.72,12.087.001,16.150.999
Norway,NOR,1966,21.145.198,1.395.143,1.094.219,15.485.508
Oceania,0,1966,26.631.424,1.537.926,98.316.864,17.051.707
Oceania (FAO),0,1966,266.28,153.8,983.07,1704.85
Pakistan,PAK,1966,61.249.203,16.233.237,33.144.687,15.565.309
Panama,PAN,1966,9.314.436,13.130.376,41.398.724,15.411.991
Paraguay,PRY,1966,13.658.636,14.062.038,50.553.662,15.999.795
Peru,PER,1966,8.257.051,12.113.196,34.906.665,15.299.767
Philippines,PHL,1966,662.967,955.686,29.637.805,12.814.304
Poland,POL,1966,19.096.594,21.870.627,8.740.913,21.134.202
Portugal,PRT,1966,11.955.407,18.038.611,6.648.329,1.798.188
Romania,ROU,1966,100.803.154,25.523.183,56.562.103,2.084.016
Rwanda,RWA,1966,10.369.397,21.663.943,11.249.253,16.582.457
Saint Kitts and Nevis,KNA,1966,66.641.685,8.689.925,50.163.016,12.001.941
Saint Lucia,LCA,1966,8.028.367,8.375.864,4.187.033,12.196.428
Saint Vincent and the Grenadines,VCT,1966,6.572.535,108.918.434,4.518.992,13.478.375
Samoa,WSM,1966,8.069.358,9.408.997,6.551.428,11.213.767
Sao Tome and Principe,STP,1966,48.738.014,14.057.645,58.005.505,12.565.315
Saudi Arabia,SAU,1966,34.552.696,15.535.202,2.605.061,13.399.208
Senegal,SEN,1966,6.486.829,19.688.707,40.435.342,16.837.711
Sierra Leone,SLE,1966,34.648.697,13.925.546,5.235.844,13.698.715
Small Island Developing States (FAO),0,1966,78.36,123.56,435.33,1473.79
Solomon Islands,SLB,1966,7.716.788,115.751.816,36.128.925,15.055.352
South Africa,ZAF,1966,10.631.976,19.386.514,5.863.096,19.460.564
South America,0,1966,10.508.498,14.841.512,48.120.697,16.366.045
South America (FAO),0,1966,105.96,149.64,485.19,16.492.101
South Korea,KOR,1966,28.074.497,2.126.585,14.882.011,1.982.392
South-eastern Asia (FAO),0,1966,38,127.84,26.658.002,1463.58
Southern Africa (FAO),0,1966,100.48,187.72,540.36,18.504.001
Southern Asia (FAO),0,1966,28.4,169.32,26.433.002,1522.95
Southern Europe (FAO),0,1966,132.52,218.64,760.59,19.092.899
Spain,ESP,1966,13.646.419,19.176.157,7.152.974,16.683.678
Sri Lanka,LKA,1966,41.386.383,154.262,37.809.906,17.434.467
Sudan (former),0,1966,7.428.964,12.461.097,48.072.028,95.531.714
Suriname,SUR,1966,9.110.473,1.301.496,37.772.214,15.807.821
Sweden,SWE,1966,22.362.221,125.143.814,10.279.456,14.924.149
Switzerland,CHE,1966,20.658.452,15.303.891,12.746.876,18.077.648
Taiwan,TWN,1966,7.134.101,16.456.857,34.660.065,1.771.057
Tanzania,TZA,1966,40.267.536,13.350.175,25.363.121,14.001.107
Thailand,THA,1966,58.198.112,15.057.477,29.520.636,18.403.973
Togo,TGO,1966,26.914.427,1.571.516,2.897.259,16.286.622
Trinidad and Tobago,TTO,1966,9.748.505,14.019.576,4.746.979,1.663.258
Tunisia,TUN,1966,48.368.336,19.303.363,5.500.799,15.110.109
Turkey,TUR,1966,10.012.438,26.590.735,67.264.545,2.012.573
USSR,OWID_USS,1966,15.938.863,2.307.004,7.060.587,21.215.051
Uganda,UGA,1966,38.838.383,14.671.873,27.880.017,15.185.497
United Arab Emirates,ARE,1966,14.278.514,120.937.294,60.870.337,14.371.152
United Kingdom,GBR,1966,21.804.756,14.882.228,12.629.694,16.293.767
United States,USA,1966,28.018.182,13.381.693,1.084.315,16.113.086
Upper-middle-income countries,0,1966,62.981.937,17.666.873,3.755.763,16.258.425
Uruguay,URY,1966,21.687.177,116.201.416,92.884.686,14.922.305
Vanuatu,VUT,1966,12.036.279,12.174.537,79.076.227,14.320.586
Venezuela,VEN,1966,8.840.656,12.216.042,43.250.427,14.392.942
Vietnam,VNM,1966,4.158.303,14.852.837,19.799.008,15.723.583
Western Africa (FAO),0,1966,33.96,142.8,39.780.002,1288.44
Western Asia (FAO),0,1966,83.52,225.92,557.73,17.808.301
Western Europe (FAO),0,1966,207.2,152.52,1080,1666.28
World,OWID_WRL,1966,83.113.235,16.823.727,46.023.758,15.821.085
Yemen,YEM,1966,28.073.141,16.373.569,2.784.163,12.196.322
Yugoslavia,OWID_YGS,1966,9.876.039,28.623.367,69.112.335,2.308.888
Zambia,ZMB,1966,5.101.598,19.624.538,35.007.516,15.283.683
Zimbabwe,ZWE,1966,4.519.691,19.691.518,37.630.908,15.219.612
Afghanistan,AFG,1967,6.850.043,2.796.794,38.462.558,2.301.065
