gender,absences,n_agama,n_pkn,n_bindo,n_mat,n_bing,n_por,n_bjawa,n_kejuruan,n_sikap,organization,extracurricular,origin_jhs,address,parent_status,father_edu,father_work,father_salary,mother_edu,mother_work,mother_salary,scholarship,family_size,house_status,final_score
P,3,83,82,80,84,81,84,88,85,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,CUKUP
P,4,91,82,81,78,79,86,88,87,B,tidak,ya,negeri,kota,Kawin,SMP sederajat,Buruh,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,4,Rumah Sendiri,CUKUP
P,1,84,82,84,90,86,88,90,88,A,tidak,tidak,negeri,kota,Kawin,S1,Wiraswasta,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,5,93,82,82,78,75,86,90,82,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,CUKUP
P,3,84,82,81,83,81,85,90,84,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Sewa,CUKUP
P,1,95,82,84,87,81,90,87,87,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Karyawan Swasta,Cukup Rendah,Tidak,4,Rumah Sendiri,BAIK
P,3,85,82,81,86,85,86,89,89,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,0,95,82,85,90,85,88,87,92,A,tidak,tidak,negeri,kota,Kawin,D3,Wiraswasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,1,83,82,79,82,76,82,88,83,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Wiraswasta,Cukup Rendah,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Sewa,CUKUP
P,5,94,82,81,88,81,86,89,86,B,tidak,tidak,negeri,kota,Kawin,S2,Lainnya,Cukup Tinggi,S2,PNSTNIPolri,Cukup Tinggi,Tidak,6,Rumah Sendiri,BAIK
P,0,95,82,81,92,83,89,90,89,A,tidak,tidak,negeri,kota,Kawin,S1,PNSTNIPolri,Tinggi,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,0,83,81,79,85,80,86,90,82,B,tidak,tidak,swasta,kota,Kawin,SMP sederajat,Buruh,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,4,Rumah Sendiri,CUKUP
P,4,83,82,82,85,82,87,88,83,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Buruh,Cukup Tinggi,SD sederajat,Buruh,Cukup Rendah,Tidak,6,Rumah Sendiri,CUKUP
P,0,95,81,85,85,82,88,89,90,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Cukup Rendah,SMA sederajat,Buruh,Cukup Rendah,Tidak,4,Sewa,BAIK
P,3,92,81,83,83,81,90,87,85,B,tidak,tidak,negeri,kota,Cerai Mati,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Lainnya,Rendah,Tidak,3,Menumpang,BAIK
P,1,91,82,82,88,86,89,90,90,A,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Karyawan Swasta,Rendah,Tidak,4,Sewa,BAIK
P,2,95,82,81,90,88,85,89,86,A,tidak,ya,swasta,kota,Kawin,S1,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Rumah Sendiri,BAIK
P,0,96,82,83,88,86,89,88,90,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Rumah Sendiri,BAIK
P,2,84,82,82,80,83,86,88,82,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Buruh,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,6,Sewa,CUKUP
P,2,92,82,81,84,80,86,88,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Rendah,SMP sederajat,Wirausaha,Cukup Rendah,Tidak,3,Sewa,BAIK
P,0,91,81,80,78,76,83,88,82,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,CUKUP
P,0,96,83,82,89,85,92,89,88,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Rendah,Tidak,3,Rumah Sendiri,BAIK
P,4,94,83,79,88,83,88,90,85,B,tidak,tidak,swasta,kota,Kawin,SMA sederajat,Wirausaha,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,10,Sewa,BAIK
P,2,94,83,88,88,84,90,89,88,A,ya,tidak,swasta,kabupaten,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,3,95,82,86,85,80,86,90,87,A,tidak,tidak,negeri,kota,Kawin,SD sederajat,Pedagang Besar,Cukup Tinggi,SD sederajat,Pedagang Besar,Cukup Tinggi,Ya,12,Rumah Sendiri,BAIK
P,0,84,81,86,80,81,89,89,85,B,tidak,tidak,negeri,kota,Cerai Mati,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,D1,Karyawan Swasta,Cukup Tinggi,Tidak,3,Menumpang,CUKUP
P,5,95,82,87,80,81,88,88,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,5,95,83,87,78,84,84,89,87,B,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,BAIK
P,1,94,81,85,88,81,86,89,88,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Rumah Sendiri,BAIK
P,2,84,82,86,94,82,87,89,87,A,tidak,tidak,negeri,kota,Cerai Mati,SD sederajat,Buruh,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,3,84,82,85,81,81,87,90,86,B,tidak,tidak,swasta,kota,Kawin,Tidak sekolah,Wiraswasta,Cukup Rendah,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,CUKUP
P,1,95,83,88,85,81,88,90,87,A,tidak,tidak,swasta,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,2,85,82,85,81,85,88,90,88,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Buruh,Cukup Tinggi,SMP sederajat,Buruh,Cukup Rendah,Tidak,4,Rumah Sendiri,BAIK
P,3,96,84,87,83,81,88,90,88,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Pedagang Besar,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Rumah Sendiri,BAIK
P,0,95,81,83,86,81,90,90,89,A,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,2,95,83,86,80,80,88,90,86,B,tidak,tidak,negeri,kota,Cerai Mati,D3,Buruh,Cukup Tinggi,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,1,92,82,88,83,83,87,89,88,A,tidak,tidak,negeri,kabupaten,Kawin,SMP sederajat,Buruh,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Rumah Sendiri,BAIK
P,2,81,82,84,78,81,86,90,85,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Karyawan Swasta,Cukup Rendah,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,5,Sewa,CUKUP
P,0,91,82,87,78,80,89,89,86,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Lainnya,Rendah,SMA sederajat,Lainnya,Sangat Rendah,Tidak,4,Sewa,BAIK
P,1,85,82,85,79,78,86,90,85,B,tidak,tidak,swasta,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Rendah,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Sewa,CUKUP
P,5,92,82,83,78,79,87,90,85,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,5,Rumah Sendiri,CUKUP
P,2,95,82,82,81,81,86,89,87,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Buruh,Cukup Tinggi,SD sederajat,Wiraswasta,Rendah,Tidak,5,Rumah Sendiri,BAIK
P,0,95,82,86,82,80,90,90,89,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,4,Rumah Sendiri,BAIK
P,3,95,81,85,81,84,86,88,88,A,tidak,tidak,negeri,kota,Cerai Mati,SD sederajat,Buruh,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Sewa,BAIK
P,3,95,83,85,85,84,86,89,87,A,ya,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Cukup Tinggi,SMP sederajat,Buruh,Cukup Tinggi,Tidak,3,Rumah Sendiri,BAIK
P,0,94,81,88,88,80,89,90,90,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,4,93,83,84,80,81,86,89,87,B,tidak,tidak,negeri,kabupaten,Kawin,SD sederajat,Wiraswasta,Sangat Rendah,SMA sederajat,Wiraswasta,Sangat Rendah,Tidak,4,Menumpang,BAIK
P,4,89,83,81,78,80,86,89,83,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Karyawan Swasta,Cukup Rendah,Tidak,3,Rumah Sendiri,CUKUP
P,2,94,82,84,83,80,85,88,86,B,tidak,tidak,negeri,kabupaten,Kawin,S1,PNSTNIPolri,Tinggi,S1,Pensiunan,Rendah,Tidak,5,Rumah Sendiri,BAIK
P,4,93,82,84,80,80,88,90,86,B,tidak,tidak,swasta,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,5,Sewa,BAIK
P,4,84,82,83,83,80,85,90,87,B,tidak,tidak,swasta,kota,Kawin,SMA sederajat,Buruh,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,6,Sewa,BAIK
P,3,86,82,84,80,81,87,88,86,B,tidak,tidak,negeri,kabupaten,Kawin,SD sederajat,Buruh,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Sewa,CUKUP
P,4,95,82,85,85,79,83,88,86,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Lainnya,Rendah,Ya,3,Rumah Sendiri,BAIK
P,2,94,82,82,81,83,84,88,87,B,tidak,tidak,negeri,kota,Kawin,Putus SD,Buruh,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,4,Rumah Sendiri,BAIK
P,4,92,81,85,82,81,86,90,86,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Sewa,BAIK
P,1,92,83,84,78,81,87,90,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Sewa,BAIK
P,0,87,82,84,84,83,88,88,88,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Wiraswasta,Cukup Tinggi,SMP sederajat,Wiraswasta,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,1,94,82,87,85,80,85,88,88,A,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Buruh,Cukup Rendah,SMA sederajat,Buruh,Cukup Rendah,Tidak,4,Sewa,BAIK
P,2,93,82,84,88,80,87,89,87,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Lainnya,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,5,84,82,85,83,85,81,89,87,B,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Petani,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,3,Sewa,BAIK
P,2,94,82,88,83,84,90,88,89,A,tidak,tidak,negeri,kota,Kawin,D3,Karyawan Swasta,Cukup Tinggi,S1,Lainnya,Cukup Rendah,Tidak,3,Rumah Sendiri,BAIK
P,3,86,82,87,84,86,88,89,87,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,BAIK
P,3,94,81,85,83,81,81,90,86,B,tidak,tidak,negeri,kota,Kawin,Putus SD,Lainnya,Rendah,Putus SD,Tidak bekerja,Tidak Berpenghasilan,Ya,3,Sewa,BAIK
P,4,84,83,84,83,85,82,88,87,B,tidak,tidak,negeri,kabupaten,Kawin,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Lainnya,Tidak Berpenghasilan,Tidak,3,Menumpang,BAIK
P,3,92,82,83,83,85,86,87,87,B,tidak,ya,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,3,Rumah Sendiri,BAIK
P,4,82,81,82,81,85,82,88,85,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,Putus SD,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,CUKUP
P,3,95,81,84,81,85,82,89,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,3,Rumah Sendiri,BAIK
P,0,94,82,81,83,82,82,87,85,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Wiraswasta,Cukup Rendah,Tidak,3,Sewa,CUKUP
P,2,95,84,86,84,87,91,87,89,A,tidak,ya,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,BAIK
P,0,95,82,84,83,86,86,88,85,B,tidak,ya,negeri,kota,Kawin,SD sederajat,Buruh,Rendah,SMP sederajat,Buruh,Sangat Rendah,Tidak,3,Sewa,BAIK
P,5,84,82,83,84,86,82,87,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,5,94,82,83,83,85,90,88,86,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,3,Rumah Sendiri,BAIK
P,2,94,82,84,81,82,82,87,84,B,tidak,tidak,negeri,kabupaten,Kawin,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,Tidak sekolah,Buruh,Cukup Rendah,Tidak,3,Menumpang,CUKUP
P,3,80,81,84,80,80,83,87,81,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Rendah,SMP sederajat,Buruh,Cukup Rendah,Ya,5,Sewa,CUKUP
P,5,81,81,83,84,81,82,89,84,B,ya,tidak,swasta,kota,Kawin,S1,Wiraswasta,Cukup Tinggi,D3,Wiraswasta,Cukup Rendah,Tidak,3,Rumah Sendiri,CUKUP
P,4,85,82,85,84,85,82,87,84,B,tidak,tidak,negeri,kota,Kawin,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,SMP sederajat,Karyawan Swasta,Cukup Rendah,Tidak,3,Menumpang,CUKUP
P,3,84,81,84,84,85,82,88,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,CUKUP
P,4,86,81,83,83,85,86,90,87,B,tidak,tidak,swasta,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Karyawan Swasta,Cukup Rendah,Ya,3,Sewa,BAIK
P,4,94,82,86,84,84,88,90,85,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Rendah,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,4,94,82,82,83,81,86,88,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,BAIK
P,1,96,82,85,84,85,88,88,87,A,ya,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,3,Rumah Sendiri,BAIK
P,3,95,82,88,84,86,89,88,88,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Pedagang Kecil,Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,3,95,82,83,84,85,88,89,88,A,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Buruh,Cukup Rendah,Tidak,3,Rumah Sendiri,BAIK
P,3,83,81,81,83,83,81,88,85,B,tidak,tidak,swasta,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Wiraswasta,Cukup Rendah,Tidak,3,Sewa,CUKUP
P,2,83,81,82,83,81,82,88,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,CUKUP
P,3,95,82,86,84,85,91,89,88,A,tidak,ya,negeri,kota,Cerai Mati,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Menumpang,BAIK
P,4,93,82,82,80,82,86,88,82,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,CUKUP
P,5,80,82,82,82,82,82,88,85,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,CUKUP
P,1,80,82,84,82,81,82,87,84,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Pedagang Kecil,Cukup Rendah,SMP sederajat,Lainnya,Cukup Rendah,Tidak,3,Sewa,CUKUP
P,4,90,81,80,82,80,81,87,85,B,tidak,tidak,swasta,kabupaten,Kawin,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Menumpang,CUKUP
P,5,84,81,84,84,82,82,89,85,B,tidak,tidak,negeri,kota,Kawin,Tidak sekolah,Karyawan Swasta,Cukup Tinggi,Tidak sekolah,Karyawan Swasta,Cukup Rendah,Tidak,3,Rumah Sendiri,CUKUP
P,3,90,81,81,82,83,90,87,84,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,CUKUP
P,3,75,81,81,83,80,81,89,84,B,tidak,tidak,negeri,kota,Cerai Mati,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Menumpang,CUKUP
P,5,82,81,87,83,82,88,90,87,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Rendah,SMP sederajat,Karyawan Swasta,Rendah,Tidak,3,Sewa,BAIK
P,5,75,81,82,81,84,81,89,85,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,CUKUP
P,2,95,81,83,83,81,91,90,87,A,ya,ya,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,0,95,82,86,84,83,83,90,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Karyawan Swasta,Cukup Rendah,Ya,5,Sewa,BAIK
P,1,94,81,84,83,83,89,90,88,A,tidak,tidak,negeri,kota,Kawin,SD sederajat,Buruh,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,0,89,81,83,80,80,88,89,85,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Wiraswasta,Cukup Rendah,SMP sederajat,Wiraswasta,Cukup Rendah,Tidak,3,Sewa,CUKUP
P,1,94,83,83,83,82,88,88,87,B,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Pedagang Kecil,Cukup Rendah,Tidak,3,Rumah Sendiri,BAIK
P,5,94,81,83,83,81,89,89,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,BAIK
P,2,85,82,85,84,85,86,89,88,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,5,Sewa,BAIK
P,2,93,81,84,83,85,84,89,89,A,tidak,tidak,negeri,kota,Kawin,D2,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,BAIK
P,3,90,82,85,84,84,86,88,88,B,tidak,tidak,swasta,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Rendah,Tidak,3,Rumah Sendiri,BAIK
P,2,93,81,86,84,82,83,89,88,A,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,0,94,84,85,83,85,90,90,89,A,tidak,ya,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,2,91,81,86,83,83,90,90,86,B,tidak,ya,negeri,kota,Kawin,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Menumpang,BAIK
P,5,84,82,83,83,82,88,90,87,B,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Menumpang,BAIK
P,3,94,82,84,83,82,90,90,88,A,tidak,tidak,negeri,kota,Kawin,Putus SD,Buruh,Rendah,SMA sederajat,Wiraswasta,Cukup Rendah,Tidak,3,Sewa,BAIK
P,1,95,81,85,83,83,88,91,87,A,tidak,tidak,negeri,kota,Kawin,S1,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Pedagang Kecil,Rendah,Tidak,3,Rumah Sendiri,BAIK
P,4,93,82,85,84,84,90,88,86,B,tidak,tidak,negeri,kota,Cerai Mati,SMA sederajat,Buruh,Sangat Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Menumpang,BAIK
P,2,94,82,84,83,83,85,88,86,B,tidak,ya,negeri,kota,Kawin,Putus SD,Buruh,Rendah,Putus SD,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,2,95,82,84,83,83,88,90,89,A,tidak,ya,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SD sederajat,Karyawan Swasta,Cukup Rendah,Ya,5,Sewa,BAIK
P,2,81,83,85,83,82,90,89,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,3,Rumah Sendiri,BAIK
P,3,93,82,85,83,83,84,90,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,0,94,82,85,83,83,88,89,89,A,tidak,ya,negeri,kota,Kawin,D3,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,BAIK
P,1,94,82,86,84,84,89,90,87,A,tidak,ya,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,2,95,82,85,83,81,91,89,89,A,tidak,ya,negeri,kota,Kawin,SD sederajat,Karyawan Swasta,Sangat Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Menumpang,BAIK
P,1,84,82,84,83,84,82,88,87,B,tidak,tidak,negeri,kota,Cerai Mati,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Karyawan Swasta,Cukup Rendah,Tidak,3,Menumpang,BAIK
P,0,94,81,85,80,81,86,88,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,BAIK
